id,state,coordinates,fuel type
48725,CA,"[-122.059908, 37.416283]",ELEC
48727,CA,"[-118.148995, 34.036123]",ELEC
48728,CA,"[-120.847, 35.36725]",ELEC
48746,CA,"[-117.048075, 34.862189]",LPG
48823,CA,"[-117.889, 33.91743]",ELEC
48836,CA,"[-120.657, 35.28059]",ELEC
48838,CA,"[-121.987, 38.34962]",ELEC
48963,CA,"[-117.938109, 33.869725]",ELEC
49119,CA,"[-119.7881, 36.801411]",ELEC
49122,CA,"[-121.2884, 38.13437]",ELEC
49127,CA,"[-117.9869, 34.13867]",ELEC
49129,CA,"[-118.964733, 34.153742]",ELEC
49130,CA,"[-118.965356, 34.152947]",ELEC
49131,CA,"[-117.5935, 34.0616]",ELEC
49133,CA,"[-117.82341, 34.049341]",ELEC
49134,CA,"[-121.4561, 38.553545]",ELEC
49149,CA,"[-117.325348, 34.511036]",ELEC
49255,CA,"[-120.956, 39.084259]",ELEC
49303,CA,"[-120.958232, 37.733193]",E85
49329,CA,"[-121.7461, 38.546699]",ELEC
49330,CA,"[-121.7279, 38.54246]",ELEC
49333,CA,"[-118.689023, 34.037227]",ELEC
49336,CA,"[-121.665804, 36.673856]",ELEC
49342,CA,"[-121.9288, 37.38514]",ELEC
49350,CA,"[-122.261, 38.1022]",ELEC
49419,CA,"[-118.285598, 33.868072]",LPG
49421,CA,"[-118.257312, 34.031714]",LPG
49426,CA,"[-118.486698, 34.220778]",LPG
49571,CA,"[-118.393, 34.08983]",ELEC
49610,CA,"[-122.035614, 38.288085]",LPG
49981,CA,"[-118.158913, 33.806192]",ELEC
49985,CA,"[-122.0531, 37.39120483]",ELEC
50000,CA,"[-122.024212, 37.360056]",ELEC
50011,CA,"[-122.404764, 37.782079]",ELEC
50091,CA,"[-117.185047, 33.760846]",LPG
50153,CA,"[-118.142129, 34.144224]",ELEC
50154,CA,"[-118.141776, 34.148186]",ELEC
50157,CA,"[-119.748892, 34.441146]",ELEC
50424,CA,"[-118.598675, 34.253049]",ELEC
50662,CA,"[-117.988723, 33.716025]",E85
50736,CA,"[-122.2145, 37.7153]",ELEC
50742,CA,"[-121.624692, 36.594595]",ELEC
50799,CA,"[-117.146, 33.49353]",ELEC
50949,CA,"[-122.14477, 37.42153]",ELEC
50969,CA,"[-122.422143, 37.788127]",ELEC
50970,CA,"[-122.422143, 37.788127]",ELEC
51002,CA,"[-121.771, 38.54215]",ELEC
51053,CA,"[-121.457305, 36.841817]",ELEC
51204,CA,"[-121.31234, 38.797142]",ELEC
51208,CA,"[-117.321885, 34.063087]",ELEC
51210,CA,"[-121.299343, 38.431454]",ELEC
51211,CA,"[-121.179577, 38.676631]",ELEC
51214,CA,"[-122.862269, 38.606405]",ELEC
51234,CA,"[-121.492654, 38.568681]",ELEC
51236,CA,"[-121.50238, 38.578648]",ELEC
51252,CA,"[-120.169783, 39.324006]",ELEC
