id,state,coordinates,fuel type
115023,NY,"[-73.978693, 40.746022]",ELEC
115024,NY,"[-73.963665, 40.767743]",ELEC
115025,NY,"[-73.98086, 40.763279]",ELEC
115026,NY,"[-73.994058, 40.737891]",ELEC
115027,NY,"[-73.986428, 40.771555]",ELEC
115028,NY,"[-73.959234, 40.773415]",ELEC
115029,NY,"[-73.987533, 40.721713]",ELEC
115030,NY,"[-73.970319, 40.793158]",ELEC
115031,NY,"[-73.982974, 40.764261]",ELEC
115032,NY,"[-74.000358, 40.737108]",ELEC
115033,NY,"[-73.988294, 40.778412]",ELEC
115034,NY,"[-73.960531, 40.770601]",ELEC
115035,NY,"[-73.987138, 40.714821]",ELEC
115036,NY,"[-73.981951, 40.772574]",ELEC
115037,NY,"[-73.995058, 40.735706]",ELEC
115038,NY,"[-74.012543, 40.716256]",ELEC
115039,NY,"[-73.980228, 40.744916]",ELEC
115040,NY,"[-73.963389, 40.765108]",ELEC
115041,NY,"[-73.961509, 40.767615]",ELEC
115042,NY,"[-73.961149, 40.768283]",ELEC
115043,NY,"[-73.949507, 40.783536]",ELEC
115044,NY,"[-73.981627, 40.775283]",ELEC
115045,NY,"[-73.96767, 40.759437]",ELEC
115046,NY,"[-73.965447, 40.762678]",ELEC
115047,NY,"[-73.968718, 40.797359]",ELEC
115048,NY,"[-73.980475, 40.781547]",ELEC
115049,NY,"[-73.982718, 40.762568]",ELEC
115050,NY,"[-73.991939, 40.736293]",ELEC
115051,NY,"[-73.968204, 40.798108]",ELEC
115052,NY,"[-73.982823, 40.780027]",ELEC
115053,NY,"[-73.972873, 40.751867]",ELEC
115054,NY,"[-73.987493, 40.779338]",ELEC
115055,NY,"[-73.995064, 40.746304]",ELEC
115056,NY,"[-73.999013, 40.729234]",ELEC
115058,NY,"[-73.977303, 40.786099]",ELEC
115059,NY,"[-73.982481, 40.765844]",ELEC
115060,NY,"[-73.95023, 40.782212]",ELEC
115061,NY,"[-73.982676, 40.764748]",ELEC
115062,NY,"[-74.016641, 40.708165]",ELEC
115063,NY,"[-74.004687, 40.707679]",ELEC
115065,NY,"[-73.962938, 40.76332]",ELEC
115066,NY,"[-73.951145, 40.78098]",ELEC
115067,NY,"[-73.971348, 40.751847]",ELEC
115068,NY,"[-73.999351, 40.742407]",ELEC
115069,NY,"[-73.971961, 40.795624]",ELEC
115070,NY,"[-73.989713, 40.77373]",ELEC
115071,NY,"[-74.006017, 40.710786]",ELEC
115072,NY,"[-73.980641, 40.78411]",ELEC
115073,NY,"[-73.947487, 40.785296]",ELEC
115074,NY,"[-74.007447, 40.719869]",ELEC
115075,NY,"[-73.960441, 40.797743]",ELEC
115076,NY,"[-74.012203, 40.715071]",ELEC
115077,NY,"[-73.962034, 40.764552]",ELEC
115078,NY,"[-73.984495, 40.762411]",ELEC
115079,NY,"[-73.984116, 40.744244]",ELEC
115080,NY,"[-73.96876, 40.769061]",ELEC
115081,NY,"[-73.981795, 40.770772]",ELEC
115082,NY,"[-73.966135, 40.757146]",ELEC
115083,NY,"[-73.964086, 40.760462]",ELEC
115084,NY,"[-73.956989, 40.769947]",ELEC
115085,NY,"[-73.955624, 40.771794]",ELEC
115086,NY,"[-73.964684, 40.759127]",ELEC
115087,NY,"[-73.961323, 40.763488]",ELEC
115088,NY,"[-74.010613, 40.717686]",ELEC
115089,NY,"[-73.985512, 40.730017]",ELEC
115090,NY,"[-73.97406, 40.756722]",ELEC
115091,NY,"[-74.004237, 40.721801]",ELEC
115092,NY,"[-73.980437, 40.737533]",ELEC
115093,NY,"[-74.010915, 40.723617]",ELEC
115094,NY,"[-73.988828, 40.760098]",ELEC
115095,NY,"[-73.983569, 40.76696]",ELEC
115096,NY,"[-73.98504, 40.747478]",ELEC
115097,NY,"[-73.968032, 40.753079]",ELEC
115098,NY,"[-73.972901, 40.746851]",ELEC
115099,NY,"[-73.983656, 40.767879]",ELEC
115100,NY,"[-74.007693, 40.735597]",ELEC
115101,NY,"[-73.971591, 40.746565]",ELEC
115102,NY,"[-74.016332, 40.711145]",ELEC
115103,NY,"[-73.946377, 40.781413]",ELEC
115104,NY,"[-73.946029, 40.782091]",ELEC
115105,NY,"[-73.952643, 40.773225]",ELEC
115106,NY,"[-73.963722, 40.77364]",ELEC
115107,NY,"[-73.963157, 40.77438]",ELEC
115108,NY,"[-73.952039, 40.774511]",ELEC
115109,NY,"[-73.991341, 40.758586]",ELEC
115110,NY,"[-73.951193, 40.775123]",ELEC
115111,NY,"[-73.969764, 40.764617]",ELEC
115112,NY,"[-74.010137, 40.719825]",ELEC
115113,NY,"[-73.974735, 40.743405]",ELEC
115114,NY,"[-74.004608, 40.741515]",ELEC
115115,NY,"[-73.967723, 40.7529]",ELEC
115116,NY,"[-74.010175, 40.705922]",ELEC
115117,NY,"[-73.954593, 40.78567]",ELEC
115118,NY,"[-74.001238, 40.721437]",ELEC
115119,NY,"[-73.990662, 40.744467]",ELEC
115120,NY,"[-73.971882, 40.743971]",ELEC
115121,NY,"[-74.015929, 40.716079]",ELEC
115122,NY,"[-73.961373, 40.80443]",ELEC
115123,NY,"[-73.961705, 40.802151]",ELEC
115124,NY,"[-73.992746, 40.728287]",ELEC
115125,NY,"[-73.958579, 40.779876]",ELEC
115126,NY,"[-73.987441, 40.766971]",ELEC
115127,NY,"[-73.951679, 40.771918]",ELEC
115128,NY,"[-73.963841, 40.755363]",ELEC
115129,NY,"[-73.955483, 40.766708]",ELEC
115130,NY,"[-73.963804, 40.755289]",ELEC
115131,NY,"[-73.962734, 40.75552]",ELEC
115132,NY,"[-73.951627, 40.771879]",ELEC
115133,NY,"[-74.001816, 40.746847]",ELEC
115134,NY,"[-73.961272, 40.758519]",ELEC
115135,NY,"[-73.959501, 40.760289]",ELEC
115136,NY,"[-73.965187, 40.752641]",ELEC
115137,NY,"[-73.943417, 40.748757]",ELEC
115138,NY,"[-73.996707, 40.716966]",ELEC
115139,NY,"[-73.947846, 40.775968]",ELEC
115140,NY,"[-73.963571, 40.811187]",ELEC
115141,NY,"[-73.948499, 40.80155]",ELEC
115142,NY,"[-73.989037, 40.740458]",ELEC
115143,NY,"[-74.017971, 40.706965]",ELEC
115144,NY,"[-73.961627, 40.776006]",ELEC
115145,NY,"[-74.001493, 40.752205]",ELEC
115146,NY,"[-73.973391, 40.754709]",ELEC
115147,NY,"[-73.992694, 40.742059]",ELEC
115149,NY,"[-73.951891, 40.766736]",ELEC
115150,NY,"[-73.96282, 40.774207]",ELEC
115151,NY,"[-73.948344, 40.771382]",ELEC
115152,NY,"[-74.00265, 40.75277]",ELEC
115153,NY,"[-73.944363, 40.776461]",ELEC
115154,NY,"[-74.009921, 40.714266]",ELEC
115155,NY,"[-73.990103, 40.745842]",ELEC
115156,NY,"[-73.968865, 40.764423]",ELEC
115157,NY,"[-73.966032, 40.803963]",ELEC
115158,NY,"[-74.005914, 40.749255]",ELEC
115159,NY,"[-73.996119, 40.737122]",ELEC
115160,NY,"[-74.005335, 40.74979]",ELEC
115161,NY,"[-74.003333, 40.753049]",ELEC
115162,NY,"[-73.976569, 40.747962]",ELEC
115163,NY,"[-73.974296, 40.742735]",ELEC
115164,NY,"[-74.008513, 40.729364]",ELEC
115165,NY,"[-73.976153, 40.76476]",ELEC
115166,NY,"[-73.991597, 40.717143]",ELEC
115167,NY,"[-73.956304, 40.783085]",ELEC
115168,NY,"[-73.947045, 40.772712]",ELEC
115169,NY,"[-73.97118, 40.78859]",ELEC
115170,NY,"[-73.99878, 40.761018]",ELEC
115171,NY,"[-73.991725, 40.770709]",ELEC
115172,NY,"[-73.993569, 40.730487]",ELEC
115173,NY,"[-74.006009, 40.738733]",ELEC
115174,NY,"[-74.004402, 40.721658]",ELEC
115175,NY,"[-73.945488, 40.772681]",ELEC
115176,NY,"[-73.993142, 40.77108]",ELEC
115177,NY,"[-73.991906, 40.731887]",ELEC
115178,NY,"[-73.999714, 40.762189]",ELEC
115179,NY,"[-74.016916, 40.70663]",ELEC
115180,NY,"[-73.982085, 40.784831]",ELEC
115181,NY,"[-73.9752106, 40.7615893]",ELEC
115182,NY,"[-74.007184, 40.734412]",ELEC
115185,NY,"[-73.966736, 40.768144]",ELEC
115186,NY,"[-74.004385, 40.710019]",ELEC
115187,NY,"[-73.989687, 40.775374]",ELEC
115188,NY,"[-73.967498, 40.793877]",ELEC
115189,NY,"[-74.00824, 40.740939]",ELEC
115190,NY,"[-73.967735, 40.770292]",ELEC
115191,NY,"[-73.981039, 40.747299]",ELEC
115192,NY,"[-73.963445, 40.794519]",ELEC
115193,NY,"[-73.974972, 40.764259]",ELEC
